Sta,E,N,dist_m,PSF
000+000,542694.651,1560574.888,0.000,1.0061383
000+050,542744.468,1560570.609,50.000,1.0061383
000+100,542794.284,1560566.330,100.000,1.0061383
000+150,542844.101,1560562.051,150.000,1.0061383
000+200,542893.917,1560557.773,200.000,1.0061383
000+250,542943.084,1560565.968,250.000,1.0061383
000+300,542992.187,1560575.398,300.000,1.0061383
000+350,543041.290,1560584.828,350.000,1.0061383
000+400,543090.392,1560594.258,400.000,1.0061383
000+450,543139.495,1560603.688,450.000,1.0061382
000+500,543188.598,1560613.119,500.000,1.0061382
000+550,543236.073,1560609.891,550.000,1.0061382
000+600,543281.193,1560588.347,600.000,1.0061383
000+650,543326.314,1560566.803,650.000,1.0061383
000+700,543371.435,1560545.260,700.000,1.0061383
000+750,543416.555,1560523.716,750.000,1.0061383
000+800,543461.676,1560502.173,800.000,1.0061383
000+850,543499.804,1560469.936,850.000,1.0061383
000+900,543537.627,1560437.234,900.000,1.0061384
000+950,543576.373,1560405.909,950.000,1.0061384
1000+000,543620.979,1560383.319,1000.000,1.0061384
1000+050,543665.585,1560360.729,1050.000,1.0061384
1000+100,543710.191,1560338.139,1100.000,1.0061384
1000+150,543754.797,1560315.549,1150.000,1.0061385
1000+200,543799.403,1560292.959,1200.000,1.0061385
1000+223,543819.493,1560282.785,1222.519,1.0061385
